case,draw,strength,passed,failed,gate 1,gate 2,gate 3,gate 4,gate 5,gate 6,gate 7,Sharpe,alpha,costs a year,appraisal ratio,effective trials,DSR,neighbours holding the base,DSR against 10,DSR against 30,DSR against 100
rotation,160,0.0,False,2,True,False,False,False,False,False,True,0.62762,-0.011306,0.0024088,-0.45638,2,0.017296,0,,,
binary rotation,160,0.0,False,2,True,False,False,False,False,False,True,0.68366,0.0010068,0.0032776,0.023579,2,0.33092,0,,,
top sector,160,0.0,False,3,True,True,False,False,False,True,True,0.81916,0.044462,0.0038498,0.4246,2,0.85885,0,,,
near benchmark,160,0.0,False,3,True,True,False,False,False,True,False,0.72705,0.0042905,0.0011764,0.32752,2,0.73559,0,,,
timing,161,0.0,False,2,True,False,False,False,False,False,True,0.41068,-0.020082,0.011157,-0.34556,1,0.051716,0,,,
slow timing,161,0.0,False,2,True,False,False,False,False,False,True,0.47605,-0.013807,0.0024632,-0.30448,1,0.10671,0,,,
selection,161,0.0,False,2,True,False,False,False,False,False,True,0.54264,0.0038808,0.011444,0.063681,10,0.097948,0,,,
slow selection,161,0.0,False,4,True,True,True,False,False,True,False,0.6579,0.019796,0.0025184,0.38653,10,0.49898,0,,,
planted 0.5,161,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.72927,0.036514,0.011336,0.64014,1,0.99764,0,0.8942,0.77334,0.61493
planted 0.8,161,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.81339,0.047182,0.01139,0.90129,1,0.99998,0,0.99389,0.97787,0.94049
late slow timing,161,0.0,False,2,True,False,False,False,False,False,True,0.89646,0.016412,0.0035247,0.088244,2,0.40775,0,,,
rotation,161,0.0,False,2,True,False,False,False,False,False,True,0.69886,0.0018171,0.0025874,0.063813,2,0.38476,0,,,
binary rotation,161,0.0,False,2,True,False,False,False,False,False,False,0.58462,-0.016255,0.003229,-0.36887,2,0.037986,0,,,
top sector,161,0.0,False,3,True,True,False,False,False,False,True,0.81824,0.037758,0.0032064,0.41778,2,0.79415,0,,,
near benchmark,161,0.0,False,2,True,False,False,False,False,True,False,0.70405,0.00041605,0.0010931,0.033297,2,0.35028,0,,,
timing,162,0.0,False,2,True,False,False,False,False,False,True,0.44247,-0.014831,0.01061,-0.23177,1,0.16556,0,,,
slow timing,162,0.0,False,3,True,True,False,True,False,False,True,0.70751,0.028142,0.0022675,0.58344,1,0.98882,0,,,
selection,162,0.0,False,2,True,False,True,False,False,True,False,0.53891,0.0018922,0.011344,0.034865,10,0.042791,0,,,
slow selection,162,0.0,False,4,True,True,True,False,False,True,True,0.58549,0.005415,0.0023121,0.13373,11,0.1361,0,,,
planted 0.5,162,0.013413153777783005,False,4,True,True,True,False,False,True,True,0.62272,0.016421,0.011167,0.28981,1,0.88935,0,0.32262,0.16883,0.078434
planted 0.8,162,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.81244,0.049295,0.011312,0.92019,1,0.99997,0,0.9935,0.97656,0.93728
late slow timing,162,0.0,False,2,True,False,False,False,False,False,True,0.91837,0.069792,0.0046721,0.25251,1,0.77195,0,,,
rotation,162,0.0,False,2,True,False,False,False,False,False,True,0.65221,-0.0068791,0.0024661,-0.27248,2,0.064123,0,,,
binary rotation,162,0.0,False,2,True,False,False,False,False,False,True,0.6204,-0.010503,0.0030442,-0.24662,2,0.069922,0,,,
top sector,162,0.0,False,2,True,False,False,False,False,False,True,0.61431,0.0090254,0.0038588,0.080575,2,0.40928,0,,,
near benchmark,162,0.0,False,2,True,False,False,False,False,True,True,0.6989,-0.00041297,0.0011412,-0.031562,2,0.2684,0,,,
timing,163,0.0,False,2,True,False,False,False,False,False,False,0.42637,-0.018288,0.011289,-0.33233,1,0.065656,0,,,
slow timing,163,0.0,False,2,True,False,False,False,False,False,True,0.56836,0.0029775,0.0026126,0.065241,2,0.40749,0,,,
selection,163,0.0,False,4,True,True,True,False,False,True,True,0.63781,0.020047,0.011296,0.33868,10,0.35085,0,,,
slow selection,163,0.0,False,3,True,True,False,False,False,False,False,0.72181,0.033373,0.0024995,0.59896,10,0.34979,0,,,
planted 0.5,163,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.7677,0.043405,0.011217,0.77184,1,0.9998,0,0.96487,0.90564,0.80506
planted 0.8,163,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.87333,0.064635,0.0116,0.98122,1,1,0,0.99754,0.98983,0.96921
late slow timing,163,0.0,False,2,True,False,False,False,False,False,True,0.91932,0.02786,0.0030823,0.17409,1,0.72105,0,,,
rotation,163,0.0,False,2,True,False,False,False,False,False,True,0.65259,-0.0062468,0.0023578,-0.21292,2,0.10531,0,,,
binary rotation,163,0.0,False,2,True,False,False,False,False,False,True,0.64275,-0.0064162,0.0034945,-0.1528,2,0.14812,0,,,
top sector,163,0.0,False,2,True,False,False,False,False,False,True,0.45507,-0.025244,0.0041453,-0.19596,1,0.2524,0,,,
near benchmark,163,0.0,False,2,True,False,False,False,False,True,True,0.66983,-0.0052118,0.0011631,-0.39653,2,0.024553,0,,,
timing,164,0.0,False,2,True,False,False,False,False,False,True,0.45685,-0.012899,0.011179,-0.24505,1,0.15362,0,,,
slow timing,164,0.0,False,2,True,False,False,False,False,False,True,0.46037,-0.015253,0.0027896,-0.23289,1,0.18032,0,,,
selection,164,0.0,False,2,True,False,False,False,False,False,True,0.51925,-0.00021854,0.011161,-0.0037226,10,0.055681,0,,,
slow selection,164,0.0,False,3,True,True,False,False,False,False,True,0.65912,0.02017,0.0025252,0.43896,10,0.60345,0,,,
planted 0.5,164,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.68463,0.027781,0.010872,0.47384,1,0.97502,0,0.65689,0.46453,0.29428
planted 0.8,164,0.018388610058729223,False,7,True,True,True,True,True,True,False,0.89678,0.064967,0.011064,1.2688,1,1,0,0.99953,0.99754,0.9908
late slow timing,164,0.0,False,2,True,False,False,False,False,False,True,0.63463,-0.01842,0.0033349,-0.071713,1,0.42536,0,,,
rotation,164,0.0,False,2,True,False,False,False,False,False,True,0.70366,0.0023274,0.0025071,0.092346,2,0.41763,0,,,
binary rotation,164,0.0,False,2,True,False,False,False,False,False,True,0.63629,-0.0073504,0.0037736,-0.1703,2,0.13027,0,,,
top sector,164,0.0,False,3,True,True,False,False,False,False,False,0.7438,0.028817,0.0034832,0.27923,2,0.66135,1,,,
near benchmark,164,0.0,False,2,True,False,False,False,False,True,True,0.70021,-0.0002315,0.0011861,-0.018766,2,0.27991,0,,,
timing,165,0.0,False,2,True,False,False,False,False,False,False,0.44985,-0.012435,0.011657,-0.21802,1,0.17335,0,,,
slow timing,165,0.0,False,7,True,True,True,True,True,True,False,0.66615,0.020703,0.0025449,0.40969,1,0.96938,0,,,
selection,165,0.0,False,2,True,False,False,False,False,False,True,0.53009,0.00099269,0.011279,0.017513,10,0.067556,0,,,
slow selection,165,0.0,False,3,True,True,False,False,False,False,True,0.65515,0.019397,0.0025473,0.40469,10,0.39662,0,,,
planted 0.5,165,0.013413153777783005,True,0,True,True,True,True,True,True,True,0.62944,0.015906,0.011267,0.30723,1,0.91473,0,0.42102,0.24305,0.12459
planted 0.8,165,0.018388610058729223,True,0,True,True,True,True,True,True,True,0.8116,0.052668,0.011493,0.95512,1,0.99996,0,0.99171,0.97113,0.92518
